country,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14656.0,84272.0,91600.0,91600.0,106256.0,106256.0,153888.0,183200.0,293120.0,329760.0,384571.42,413883.42,490797.7,688594.27,706735.98,838550.83,1006916.53,1091158.82,1281865.11,1223389.69,941231.98,1670397.69,1893931.41,1531165.69,1637243.4,1915677.68,2124525.68,1984225.38,2386745.67,2155419.66,2234903.94,1757021.97,1979372.53,2095539.37,2520091.42,2822415.06,3501893.65,3134071.92,3114159.9,2857083.9,2764887.89,2602407.59,2426486.16,1381521.84,1333837.11,1282488.38,1231139.65,1165134.92,1084474.19,1029461.47,809568.74,768195.25,812074.37,1064074.85,1187070.59,941455.62,1320250.12,1643246.0,2268343.1,4198329.64,6760313.49,8452224.14,12226017.38,10742056.72,10000414.29,9789185.57,10107428.68,12257907.69,13014739.66
Africa,2330304.0,3909488.0,5825760.0,7895920.0,8914512.0,10259200.0,11717472.0,12930256.0,13402912.0,15385136.0,17411328.0,16865392.0,17953600.0,19606064.0,19551104.0,19606064.0,23251744.0,25343888.0,24728336.0,25446480.0,28051584.0,27985632.0,23973552.0,29048192.0,30631040.0,32180912.0,34437936.0,33837040.0,34771360.0,35808272.0,33701472.0,29469552.0,26629952.0,28502256.0,32539984.0,35914528.0,39025264.0,41846544.0,44022960.0,46858896.0,49650864.0,54033008.0,58829184.0,60126240.0,66648160.0,67531184.0,68168720.0,67952544.0,71744784.0,77354368.0,94941568.0,101203344.0,110425632.0,112078096.0,117640048.0,129529728.0,135260224.0,141752832.0,148769392.0,147841143.3,156567067.8,161994254.1,166334786.6,176334743.0,193639229.6,213634280.9,221081974.5,237045012.2,257282104.4,277915809.1,302623753.9,331868172.1,351877790.8,378012574.7,388408344.3,387307167.4,420186590.8,433019043.8,462508407.8,499039438.4,535662719.8,548541106.2,571681434.7,594483205.9,649208757.0,665646575.4,689587818.6,689585630.7,724597302.5,697746148.0,657850152.1,686854278.6,669557139.1,709543245.0,720231497.0,775510660.8,793572765.9,812679985.0,835329976.3,828335346.2,884531576.9,879118731.4,884151838.9,961971967.9,1033091840.0,1044075215.0,1083798148.0,1126332954.0,1178142922.0,1188275614.0,1193783772.0,1198373015.0,1233842174.0,1250643564.0,1290489212.0,1289003257.0,1310656389.0,1331739959.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7328.0,7328.0,18320.0,128240.0,296784.0,348080.0,432352.0,692496.0,626544.0,743792.0,461664.0,153888.0,120912.0,483648.0,926992.0,703488.0,1014928.0,296784.0,403040.0,373728.0,414032.0,501968.0,663184.0,839056.0,1505904.0,1201792.0,1443616.0,2022528.0,2279008.0,2462208.0,2081152.0,2015200.0,2172752.0,2550144.0,2678384.0,3070432.0,3242640.0,3740944.0,4349168.0,5638896.0,5287152.0,4341840.0,4590992.0,4946400.0,5715840.0,6488944.0,7580816.0,5166240.0,7335328.0,7302352.0,7624784.0,7818976.0,7873936.0,8049808.0,7437920.0,7320672.0,8976800.0,5510656.0,4283216.0,2513504.0,2333968.0,1923600.0,2084816.0,2015200.0,1542544.0,1751392.0,2982496.0,3019136.0,3220656.0,3748272.0,4290544.0,4162304.0,4250240.0,3894832.0,3924144.0,4371152.0,4374816.0,4594656.0,5235856.0,4906096.0,5059984.0,5712176.0,5947724.28,6272857.94,6379207.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,7328.0,18320.0,18320.0,21984.0,25648.0,25648.0,14656.0,29312.0,32976.0,40304.0,58624.0,73280.0,80608.0,84272.0,98928.0,113584.0,120912.0,139232.0,131904.0,51296.0,69616.0,32976.0,161216.0,238160.0,311440.0,498304.0,468992.0,498304.0,615552.0,762112.0,743792.0,802416.0,908672.0,3784912.0,4132992.0,3891168.0,4001088.0,4154976.0,4609312.0,4997696.0,5539968.0,5217536.0,5657016.93,6151240.91,6055917.48,5661007.81,5419154.09,5643044.4,6588534.69,8420861.57,8431586.13,9050237.52,11262966.65,15058959.8,18649531.22,28322639.8,38277400.92,31876660.36,32001206.65,39131069.74,41844913.14,62455266.48,45545551.53,66416467.44,46341986.73,39173029.23,52503914.58,70946530.22,72609068.43,76080388.2,83883502.19,83708033.58,79808266.0,76736640.21,78805351.89,79881770.87,81942440.4,86146675.45,94981961.04,96786119.98,87004345.51,106620830.2,91667911.41,87442682.76,83780673.62,89406721.23,91048193.45,87853102.49,106473190.0,100201161.5,108399973.2,109031837.0,120185864.1,117814076.6,119806887.5,128109951.1,132434630.3,143177050.1,150592497.7,150378025.5,150551376.6
Americas (other),24790624.0,31561696.0,34452592.0,37196928.0,43484352.0,46305632.0,51636752.0,61936256.0,66065584.0,62511504.0,73085808.0,87957984.0,96092064.0,112371216.0,96011456.0,90848880.0,107673968.0,122765984.0,131922320.0,130727856.0,176330000.0,186204480.0,172900496.0,185991968.0,171237040.0,160655408.0,169972960.0,167001456.0,181415632.0,195459744.0,190681888.0,158757456.0,155298640.0,162315200.0,184434768.0,196727488.0,207221184.0,240779760.0,234092960.0,239757504.0,247580144.0,270531440.0,248082112.0,279200464.0,304423440.0,310252864.0,394891264.0,358342864.0,384617408.0,258857936.0,316393728.0,353971712.0,359068336.0,360009984.0,380385488.0,408418752.0,448905952.0,461125392.0,455164064.0,480131814.7,491067101.5,499337985.7,531233509.9,535195164.6,587467518.2,612410345.3,637055062.6,688973699.6,736350850.2,777751653.6,860650880.4,897045881.8,951501259.6,1004426215.0,1046488129.0,1061805869.0,1106039317.0,1136175350.0,1196893132.0,1277810108.0,1319822694.0,1297219740.0,1305738555.0,1258508351.0,1289784767.0,1313088437.0,1315172226.0,1386390338.0,1434020538.0,1501045944.0,1463145039.0,1470984012.0,1503912671.0,1542659203.0,1596755862.0,1619585528.0,1688215148.0,1766940091.0,1848852641.0,1890344212.0,1907022738.0,1930495800.0,1952855792.0,2003975573.0,2011917498.0,2076950414.0,2114866379.0,2168015893.0,2226580254.0,2157619435.0,2253918886.0,2294779338.0,2375405727.0,2406775095.0,2443171356.0,2435553763.0,2415058074.0,2398632318.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406704.0,406704.0,406704.0,410368.0,406704.0,425024.0,454336.0,465328.0,490976.0,512960.0,523952.0,523952.0,531280.0,534944.0,560592.0,575248.0,545936.0,538608.0,538608.0,516624.0,516624.0,490976.0,487312.0,476320.0,461664.0,477238.62,511506.85,520183.81
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186864.0,249152.0,311440.0,274800.0,348080.0,414032.0,501968.0,619216.0,593568.0,618591.97,548946.25,453711.97,1179124.53,1149723.39,1222914.24,1186155.38,1552466.23,991814.8,1669535.93,2783094.77,3577915.33,3405380.45,4500530.15,4873663.83,4866395.26,4408811.28,3280042.31,3527510.97,5399808.1,5489191.01,5334356.96,5266774.02,4635170.08,5100534.83,4985860.98,4676114.24,4633839.5,5786028.76,5049305.73,4922809.97,5088684.98,5062876.68,5165043.98,5748383.38,3865595.55,10948303.24,10424825.05,7347849.05,7269605.77,9129777.79,9515060.92,9671518.88,12597545.05,8988367.85,18701931.74,19006429.59,22102407.09,24976104.38,25486004.45,27565503.37,28864472.37,30142144.46,33185815.75,32373114.67,34457641.91,34761128.89,35351002.67,35389928.27
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51296.0,51296.0,54960.0,65952.0,65952.0,65952.0,69616.0,69616.0,76944.0,80608.0,87936.0,95264.0,95264.0,102592.0,120912.0,128240.0,142896.0,150224.0,150224.0,146560.0,150224.0,142896.0,142896.0,135568.0,142896.0,149176.85,152072.24,152045.24
Antarctic Fisheries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,7328.0,7328.0,10992.0,14656.0,14656.0,14656.0,14656.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,7328.0,7328.0,7328.0,10992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21984.0,29312.0,29312.0,36640.0,47632.0,102592.0,84272.0,91600.0,150224.0,348080.0,564256.0,989280.0,1256752.0,461664.0,425024.0,373728.0,329760.0,428688.0,707152.0,403040.0,465328.0,490976.0,406704.0,142896.0,106256.0,293120.0,84272.0,146560.0,249152.0,249152.0,274800.0,285792.0,285792.0,282128.0,267472.0,263808.0,271136.0,267472.0,274800.0,293120.0,307776.0,318768.0,329760.0,344416.0,348080.0,370064.0,403040.0,421360.0,428688.0,443344.0,468992.0,479984.0,509296.0,523952.0,512960.0,523952.0,523952.0,531280.0,554631.88,565396.8,565296.4
