,code,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,continent,cc,country_name,country,per_capita,cumulative,pop,gdp
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022000000000000002,0.132,0.147,0.161,0.187,0.22,0.26,0.3,0.33,0.344,0.414,0.429,0.45799999999999996,0.5489999999999999,0.597,0.677,0.772,0.757,1.9040000000000001,3.227,9.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Ryukyu Islands,0.0,0.022000000000000002,0.0,0.0
1,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.036000000000000004,0.083,0.10300000000000001,0.135,0.11199999999999999,0.109,0.11699999999999999,0.129,0.145,0.158,0.184,0.19899999999999998,0.18600000000000003,0.15,0.183,0.107,0.17300000000000001,0.21600000000000003,0.251,0.282,0.319,0.327,0.0,0.41,0.6459999999999999,0.373,0.43200000000000005,0.873,0.722,0.934,0.638,0.5589999999999999,0.7190000000000001,0.619,0.6459999999999999,0.7090000000000001,0.679,0.66,0.5920000000000001,0.5539999999999999,0.682,0.635,0.83,0.929,0.8079999999999999,0.784,0.8690000000000001,0.7879999999999999,0.5710000000000001,1.219,0.637,0.542,0.569,0.585,0.5579999999999999,0.623,0.32,0.8,0.937,0.18,0.447,0.612,0.649,0.48700000000000004,0.531,0.539,0.649,0.66,0.7070000000000001,0.725,0.758,0.8059999999999999,0.81,2.378,2.407,2.437,2.5610000000000004,2.616,2.719,2.715,2.821,2.656,2.627,2.506,2.499,1.348,0.861,0.872,0.898,0.883,0.9159999999999999,0.943,0.919,North America,,Aruba,Aruba,0.0,0.033,0.0,0.0
2,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.084,0.092,0.092,0.106,0.106,0.154,0.183,0.293,0.33,0.385,0.414,0.491,0.6890000000000001,0.7070000000000001,0.8390000000000001,1.0070000000000001,1.091,1.2819999999999998,1.2229999999999999,0.941,1.67,1.8940000000000001,1.53,1.636,1.913,2.122,1.9809999999999999,2.384,2.154,2.233,1.756,1.979,2.095,2.52,2.822,3.502,3.134,3.114,2.8569999999999998,2.765,2.603,2.427,1.379,1.3330000000000002,1.2819999999999998,1.23,1.165,1.084,1.0290000000000001,0.81,0.758,0.7979999999999999,1.052,1.186,0.889,1.3030000000000002,1.635,2.269,4.2,6.74,8.398,12.106,10.219,8.441,7.774,7.904,6.745,6.86,10.453,10.72,Asia,AS,"Afghanistan, Islamic Republic of",Afghanistan,0.002,0.015,7663783.0,0.0
3,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.249,0.311,0.275,0.348,0.414,0.502,0.619,0.593,0.619,0.5489999999999999,0.45399999999999996,1.179,1.15,1.2229999999999999,1.186,1.5519999999999998,0.992,1.67,2.783,3.5780000000000003,3.405,4.501,4.874,4.8660000000000005,4.409,3.28,3.528,5.4,5.489,5.334,5.267,4.635,5.101,4.986000000000001,4.676,4.6339999999999995,5.7860000000000005,5.0489999999999995,4.923,5.0889999999999995,5.063,5.165,5.747999999999999,3.866,10.948,10.425,7.348,7.27,9.13,9.515,9.672,12.597999999999999,8.988,18.702,19.006,22.101999999999997,24.976,25.486,27.566,28.864,30.33,33.801,33.229,44.248999999999995,33.979,34.111,37.471,37.679,38.02,Africa,AF,"Angola, Republic of",Angola,0.040999999999999995,0.187,4548000.0,0.0
4,AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.051,0.055,0.066,0.066,0.066,0.07,0.07,0.077,0.081,0.08800000000000001,0.095,0.095,0.10300000000000001,0.121,0.128,0.14300000000000002,0.15,0.15,0.147,0.15,0.14300000000000002,0.14300000000000002,0.11699999999999999,0.139,0.154,0.154,0.14300000000000002,0.147,0.14300000000000002,North America,,Anguilla,Anguilla,5.7,0.051,9000.0,0.0
5,ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.006999999999999999,0.018000000000000002,0.128,0.297,0.348,0.43200000000000005,0.6920000000000001,0.627,0.7440000000000001,0.462,0.154,0.121,0.484,0.927,0.703,1.015,0.297,0.40299999999999997,0.374,0.414,0.502,0.6629999999999999,0.8390000000000001,1.506,1.202,1.444,2.023,2.279,2.4619999999999997,2.081,2.015,2.173,2.55,2.678,3.07,3.2430000000000003,3.741,4.349,5.638999999999999,5.287000000000001,4.342,4.591,4.946000000000001,5.716,6.489,7.581,5.166,7.335,7.3020000000000005,7.625,7.819,7.874,8.05,7.438,7.321000000000001,8.977,5.445,4.228,2.495,2.316,1.913,2.066,1.993,1.5319999999999998,1.744,2.975,3.0039999999999996,3.221,3.748,4.232,4.104,4.199,3.844,3.8289999999999997,4.272,4.254,4.448,5.031000000000001,4.668,4.928,5.621,4.532,4.496,5.404,5.403,5.579,Europe,EU,"Albania, Republic of",Albania,0.006999999999999999,0.006999999999999999,1032197.0,0.0
6,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40700000000000003,0.40700000000000003,0.40700000000000003,0.41,0.40700000000000003,0.425,0.45399999999999996,0.465,0.491,0.513,0.524,0.524,0.531,0.535,0.561,0.575,0.546,0.539,0.539,0.517,0.517,0.491,0.48700000000000004,0.47600000000000003,0.462,0.465,0.469,0.465,0.46399999999999997,0.47,Europe,EU,"Andorra, Principality of",Andorra,7.395,0.40700000000000003,55000.0,0.0
7,ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.018000000000000002,0.022000000000000002,0.018000000000000002,0.022000000000000002,0.026000000000000002,0.9159999999999999,1.242,20.506999999999998,15.235,21.166999999999998,23.435,30.605,31.302,31.045,39.617,38.751,44.754,36.546,36.823,36.766999999999996,36.753,35.22,46.156000000000006,49.653,47.03,47.45,48.096000000000004,54.18600000000001,51.703,56.672,57.758,65.565,72.605,70.013,72.775,73.101,80.682,77.543,111.788,100.59200000000001,83.698,105.618,111.802,114.477,121.73700000000001,133.264,153.969,165.5,155.977,169.175,217.362,221.83599999999998,215.90599999999998,239.671,228.583,186.623,188.541,190.683,Asia,AS,United Arab Emirates,United Arab Emirates,0.126,0.011000000000000001,87000.0,0.0
8,ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085,0.89,1.755,1.37,0.938,1.385,1.554,1.993,2.2640000000000002,2.305,2.081,2.349,2.92,2.07,2.492,2.8139999999999996,2.862,3.7960000000000003,3.983,6.254,6.254,7.617000000000001,5.936,8.907,9.943999999999999,9.479,10.146,8.673,6.94,4.987,2.231,2.521,3.7260000000000004,5.892,5.54,7.2989999999999995,8.446,10.959000000000001,11.237,11.259,13.374,12.739,13.13,12.767000000000001,12.844000000000001,13.1,13.232000000000001,14.24,13.997,15.095999999999998,16.711,16.347,17.377,15.864,13.94,13.479000000000001,14.077,13.952,13.665999999999999,13.702,14.515,17.392,15.365,29.921,34.963,36.095,35.135,36.75,39.56,44.297,47.608000000000004,44.193000000000005,48.949,48.763999999999996,51.126999999999995,53.64,50.033,55.67,58.805,63.073,65.476,69.009,77.249,82.648,88.84700000000001,90.06700000000001,93.976,95.48100000000001,94.846,99.7,100.706,102.556,110.617,108.65700000000001,101.969,103.352,105.14299999999999,106.45200000000001,100.53200000000001,104.15100000000001,114.87799999999999,121.406,117.021,112.079,117.506,121.23100000000001,117.777,122.229,127.765,134.762,137.641,139.452,147.285,142.358,134.004,124.39200000000001,134.631,157.043,161.434,174.609,174.24599999999998,188.106,178.949,186.733,190.274,191.715,190.15200000000002,188.697,192.36599999999999,190.93,187.416,185.03,178.94,South America,SA,"Argentina, Argentine Republic",Argentina,0.35100000000000003,1.085,3089624.0,0.0
9,ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.004,0.013999999999999999,0.016,0.013000000000000001,0.018000000000000002,0.02,0.026000000000000002,0.027000000000000003,0.025,0.031,0.035,0.044000000000000004,0.045,0.059000000000000004,0.06,0.071,0.07400000000000001,0.078,0.08900000000000001,0.091,0.099,0.10099999999999999,0.107,0.11199999999999999,0.121,0.13699999999999998,0.15,0.159,0.187,0.19,0.218,0.222,0.257,0.28800000000000003,0.335,0.379,0.389,0.376,0.368,0.409,0.365,0.41600000000000004,0.466,0.469,0.495,0.486,0.504,0.5710000000000001,0.62,0.5589999999999999,0.513,0.547,0.504,0.201,0.172,0.156,0.17,0.207,0.22899999999999998,0.272,0.26899999999999996,0.389,0.484,0.5379999999999999,0.579,0.7879999999999999,0.946,1.0659999999999998,1.1909999999999998,1.4409999999999998,1.631,1.871,1.913,2.019,2.044,2.45,2.1519999999999997,1.17,1.2209999999999999,1.771,1.875,2.1069999999999998,2.537,2.7,3.069,3.4210000000000003,3.708,3.971,4.2010000000000005,4.588,5.202999999999999,5.704,6.242999999999999,6.662999999999999,7.006,7.294,7.522,7.895,8.467,9.004,9.552,10.088,10.548,10.844000000000001,11.294,11.879000000000001,12.61,13.272,13.837,14.368,15.107999999999999,15.693,16.23,16.79,16.930999999999997,17.6,17.269000000000002,17.597,17.852,18.015,19.429000000000002,19.486,19.413,19.936,19.496,18.212,18.92,5.86,2.574,2.715,3.432,2.593,3.266,3.397,3.048,3.491,3.533,3.077,3.4560000000000004,3.6910000000000003,4.376,4.402,5.1,5.575,4.363,4.253,4.968999999999999,5.747999999999999,5.535,5.56,5.072,5.159,5.485,6.297000000000001,6.006,Europe,EU,"Armenia, Republic of",Armenia,0.0,0.0,453507.0,0.0
