,country,code,year,emission
20353,World,OWID_WRL,1751,9350528
20354,World,OWID_WRL,1752,9354192
20355,World,OWID_WRL,1753,9354192
20356,World,OWID_WRL,1754,9357856
20357,World,OWID_WRL,1755,9361520
20358,World,OWID_WRL,1756,10006384
20359,World,OWID_WRL,1757,10010048
20360,World,OWID_WRL,1758,10013712
20361,World,OWID_WRL,1759,10017376
20362,World,OWID_WRL,1760,10017376
20363,World,OWID_WRL,1761,10973680
20364,World,OWID_WRL,1762,10977344
20365,World,OWID_WRL,1763,10981008
20366,World,OWID_WRL,1764,10984672
20367,World,OWID_WRL,1765,10988336
20368,World,OWID_WRL,1766,12259744
20369,World,OWID_WRL,1767,12263408
20370,World,OWID_WRL,1768,12267072
20371,World,OWID_WRL,1769,12270736
20372,World,OWID_WRL,1770,12274400
20373,World,OWID_WRL,1771,13611760
20374,World,OWID_WRL,1772,13615424
20375,World,OWID_WRL,1773,13619088
20376,World,OWID_WRL,1774,13622752
20377,World,OWID_WRL,1775,13626416
20378,World,OWID_WRL,1776,15037056
20379,World,OWID_WRL,1777,15040720
20380,World,OWID_WRL,1778,15044384
20381,World,OWID_WRL,1779,15048048
20382,World,OWID_WRL,1780,15055376
20383,World,OWID_WRL,1781,16843408
20384,World,OWID_WRL,1782,16847072
20385,World,OWID_WRL,1783,16854400
20386,World,OWID_WRL,1784,16858064
20387,World,OWID_WRL,1785,16869056
20388,World,OWID_WRL,1786,19151728
20389,World,OWID_WRL,1787,19159056
20390,World,OWID_WRL,1788,19162720
20391,World,OWID_WRL,1789,19170048
20392,World,OWID_WRL,1790,19177376
20393,World,OWID_WRL,1791,21419744
20394,World,OWID_WRL,1792,21896064
20395,World,OWID_WRL,1793,21914384
20396,World,OWID_WRL,1794,21881408
20397,World,OWID_WRL,1795,21892400
20398,World,OWID_WRL,1796,22951296
20399,World,OWID_WRL,1797,24094464
20400,World,OWID_WRL,1798,25094736
20401,World,OWID_WRL,1799,26428432
20402,World,OWID_WRL,1800,28091888
20403,World,OWID_WRL,1801,27959984
20404,World,OWID_WRL,1802,36782896
20405,World,OWID_WRL,1803,31488416
20406,World,OWID_WRL,1804,34309696
20407,World,OWID_WRL,1805,33419344
20408,World,OWID_WRL,1806,35046160
20409,World,OWID_WRL,1807,36874496
20410,World,OWID_WRL,1808,35064480
20411,World,OWID_WRL,1809,35090128
20412,World,OWID_WRL,1810,37380128
20413,World,OWID_WRL,1811,39582192
20414,World,OWID_WRL,1812,41007488
20415,World,OWID_WRL,1813,41220000
20416,World,OWID_WRL,1814,42128672
20417,World,OWID_WRL,1815,43488016
20418,World,OWID_WRL,1816,47664976
20419,World,OWID_WRL,1817,49431024
20420,World,OWID_WRL,1818,49643536
20421,World,OWID_WRL,1819,49947648
20422,World,OWID_WRL,1820,50687776
20423,World,OWID_WRL,1821,51435232
20424,World,OWID_WRL,1822,53465088
20425,World,OWID_WRL,1823,56550176
20426,World,OWID_WRL,1824,58525072
20427,World,OWID_WRL,1825,60756448
20428,World,OWID_WRL,1826,61419632
20429,World,OWID_WRL,1827,65915360
20430,World,OWID_WRL,1828,66637168
20431,World,OWID_WRL,1829,66395344
20432,World,OWID_WRL,1830,89123136
20433,World,OWID_WRL,1831,84528480
20434,World,OWID_WRL,1832,85111056
20435,World,OWID_WRL,1833,86807488
20436,World,OWID_WRL,1834,88485600
20437,World,OWID_WRL,1835,90445840
20438,World,OWID_WRL,1836,104775744
20439,World,OWID_WRL,1837,104691472
20440,World,OWID_WRL,1838,108044032
20441,World,OWID_WRL,1839,111612768
20442,World,OWID_WRL,1840,118929776
20443,World,OWID_WRL,1841,122619424
20444,World,OWID_WRL,1842,129504080
20445,World,OWID_WRL,1843,132852976
20446,World,OWID_WRL,1844,141423072
20447,World,OWID_WRL,1845,155210704
20448,World,OWID_WRL,1846,157793824
20449,World,OWID_WRL,1847,172402192
20450,World,OWID_WRL,1848,173816496
20451,World,OWID_WRL,1849,183511440
20452,World,OWID_WRL,1850,196896032
20453,World,OWID_WRL,1851,198742688
20454,World,OWID_WRL,1852,207495984
20455,World,OWID_WRL,1853,217099328
20456,World,OWID_WRL,1854,255010736
20457,World,OWID_WRL,1855,260034080
20458,World,OWID_WRL,1856,277108320
20459,World,OWID_WRL,1857,279680448
20460,World,OWID_WRL,1858,283967328
20461,World,OWID_WRL,1859,301001264
20462,World,OWID_WRL,1860,330708976
20463,World,OWID_WRL,1861,347786880
20464,World,OWID_WRL,1862,354114608
20465,World,OWID_WRL,1863,377923280
20466,World,OWID_WRL,1864,407151008
20467,World,OWID_WRL,1865,432366656
20468,World,OWID_WRL,1866,446037040
20469,World,OWID_WRL,1867,477814912
20470,World,OWID_WRL,1868,490752496
20471,World,OWID_WRL,1869,521130720
20472,World,OWID_WRL,1870,532536752
20473,World,OWID_WRL,1871,566142960
20474,World,OWID_WRL,1872,626371792
20475,World,OWID_WRL,1873,665419040
20476,World,OWID_WRL,1874,622997248
20477,World,OWID_WRL,1875,675799152
20478,World,OWID_WRL,1876,685552720
